全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,画像1,画像1_ライセンス,画像2,画像2_ライセンス,外部利用不可,備考
332071,0000000077,岡山県井原市,美星天文台,,,332071,,岡山県井原市美星町大倉1723-70,岡山県,井原市,美星町大倉,1723-70,,34.671976,133.545384,,,美星天文台玄関,,,,,,,,,月火水金土日,09:30,22:00,年末年始12月28日から1月3日まで休業　　祝日の翌日は休業。天文台の開館時間内のため金土日月は13:30〜22:00,,,,,,,,
332071,0000000078,岡山県井原市,美星公民館,,,332071,,岡山県井原市美星町三山1043-1,岡山県,井原市,美星町三山,1043-1,,34.683138,133.542041,,,1階事務所内,,,,,,,,,火水木金土日,08:30,21:30,毎週土・日曜日は17時15分閉館、年末年始12月28日から1月4日まで休館、火曜日から金曜日にあたる祝日は休館、その他数日臨時休館あり,,,,,,,,
332071,0000000079,岡山県井原市,井原市役所美星支所,,,332071,,岡山県井原市美星町三山1055,岡山県,井原市,美星町三山,1055,,34.683904,133.542799,,,1階ロビー,,,,,,,,,,08:30,17:15,,,,,,,,,
332071,0000000080,岡山県井原市,星の郷ふれあいセンター,,,332071,,岡山県井原市美星町星田2-10,岡山県,井原市,美星町星田,2-10,,34.675927,133.530151,,,1階事務所内,,,,,,,,,月火水木金土日,00:00,24:00,当施設は管理者が常駐しておらず、利用があるときや設備の点検・清掃のとき以外は施錠している。 当施設のAEDは施設利用者がいるときのみ、保管場所から出して使用可能な状態にしている。,,,,,,,,
332071,0000000081,岡山県井原市,特別養護老人ホーム　星の郷,,,332071,,岡山県井原市美星町大倉2466,岡山県,井原市,美星町大倉,2466,,34.674137,133.532523,,,医務室,,,,,,,,,,08:00,20:00,,,,,,,,,
332071,0000000082,岡山県井原市,木之子中学校,,,332071,,岡山県井原市木之子町2957-1,岡山県,井原市,木之子町,2957-1,,34.589284,133.501871,,,体育館入り口,,,,,,,,,月火水木金,08:15,16:45,年末年始12月28日～1月3日まで休業,,,,,,,,
332071,0000000083,岡山県井原市,井原市地域包括支援センター,,,332071,,岡山県井原市井原町311-1,岡山県,井原市,井原町,311-1,,34.598177,133.464332,,,井原市役所2階介護保険課地域包括支援センター,,,,,,,,,月火水木金,08:30,17:15,年末年始12月28日から1月3日まで休業。地域包括支援センター体操事業等で使用,,,,,,,外部利用不可,
332071,0000000084,岡山県井原市,井原浄化センター,,,332071,,岡山県井原市七日市町4346-1,岡山県,井原市,七日市町,4346-1,,34.595868,133.486827,,,管理棟1階事務室前,,,,,,,,,月火水木金,08:00,17:00,年末年始（12月29日〜1月3日）休業,,,,,,,,
332071,0000000085,岡山県井原市,経ヶ丸オートキャンプ場,,,332071,,岡山県井原市笹賀町1668-1,岡山県,井原市,笹賀町,1668-1,,34.593415,133.438983,,,経ヶ丸オートキャンプ場管理棟受付,,,,,,,,,月火水木金土日,00:00,24:00,お客様の宿泊の有無により、使用可能日時・時間帯の変動があります。,,,,,,,,
332071,0000000086,岡山県井原市,井原体育館,,,332071,,岡山県井原市上出部町1671-1,岡山県,井原市,上出部町,1671-1,,34.588495,133.462569,,,ロビー,,,,,,,,,火水木金土日,09:00,21:00,月曜日が祝日の場合はその翌日が休館、年末年始12月28日から1月4日まで休館,,,,,,,,外部の使用を条件付で認める。条件: 開館時間のみ
332071,0000000087,岡山県井原市,西部いこいの里,,,332071,,岡山県井原市高屋町4-25-2,岡山県,井原市,高屋町,4-25-2,,34.580347,133.436717,,,3階非常階段踊場,,,,,,,,,月火水木金土日,00:00,24:00,,,,,,,,,
332071,0000000088,岡山県井原市,スーパードラッグひまわり井原店,,,332071,,岡山県井原市下出部町1-32-2,岡山県,井原市,下出部町,1-32-2,,34.586463,133.443189,,,店内,,,,,,,,,,09:00,24:00,,,,,,,,,
332071,0000000089,岡山県井原市,井原警察署,,,332071,,岡山県井原市西江原町859-1,岡山県,井原市,西江原町,859-1,,34.597752,133.484572,,,1階,,,,,,,,,月火水木金土日,00:00,24:00,,,,,,,,,外部の使用を条件付で認める。条件: 施設職員に声を掛けて職員が使用する。
332071,0000000090,岡山県井原市,社会福祉法人こだま園　こだま園こころ与井,,,332071,,岡山県井原市芳井町与井500,岡山県,井原市,芳井町与井,500,,34.626637,133.441612,,,事務所出入口付近,,,,,,,,,月火水木金,08:30,17:20,年末年始12月28日から1月3日まで休業。土曜日は月に2回程度、開所,,,,,,,,
332071,0000000091,岡山県井原市,井原駅ビル,,,332071,,岡山県井原市七日市町944-5,岡山県,井原市,七日市町,944-5,,34.592974,133.469056,,,井原駅ビル1階　階段前,,,,,,,,,,08:00,20:00,,,,,,,,,
332071,0000000092,岡山県井原市,タカヤ商事株式会社　高屋工場,,,332071,,岡山県井原市高屋町3-17-3,岡山県,井原市,高屋町,3-17-3,,34.580225,133.432147,,,玄関入ってすぐの受付,,,,,,,,,月火水木金,09:00,17:30,年末年始及び夏季休暇あり,,,,,,,,外部の使用を条件付で認める。条件: 社員に声をかけてください。
332071,0000000093,岡山県井原市,ダイレックス井原店,,,332071,,岡山県井原市井原町108-1,岡山県,井原市,井原町,108-1,,34.596277,133.465838,,,レジカウンター壁面,,,,,,,,,,10:00,21:00,1月1日、2日以外,,,,,,,,
