全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,画像1,画像1_ライセンス,画像2,画像2_ライセンス,外部利用不可,備考
332101,0000000086,岡山県新見市,哲多認定こども園,,,332101,,岡山県新見市哲多町本郷678,岡山県,新見市,哲多町本郷,678,,34.938842 ,133.451806,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000087,岡山県新見市,哲多町介護老人保健施設すずらん,,,332101,,岡山県新見市哲多町本郷1223-3,岡山県,新見市,哲多町本郷,1223-3,,34.936610,133.442753,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000067,岡山県新見市,国際貢献大学校メディカルクリニック,,,332101,,岡山県新見市哲多町本郷1334-1,岡山県,新見市,哲多町本郷,1334-1,,34.936709,133.443847,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000068,岡山県新見市,新見市哲多支局,,,332101,,岡山県新見市哲多町本郷246-4,岡山県,新見市,哲多町本郷,246-4,,34.936412,133.451940,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000069,岡山県新見市,哲多総合センター,,,332101,,岡山県新見市哲多町本郷664-1,岡山県,新見市,哲多町本郷,664-1,,34.937306,133.450276,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000070,岡山県新見市,哲多中学校,,,332101,,岡山県新見市哲多町成松121,岡山県,新見市,哲多町成松,121,,34.917836,133.454147,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000071,岡山県新見市,新見市哲多Ｂ＆Ｇ海洋センター,,,332101,,岡山県新見市哲多町花木1090,岡山県,新見市,哲多町花木,1090,,34.941977,133.462304,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000072,岡山県新見市,新見市処理センター,,,332101,,岡山県新見市哲多町宮河内1940-24,岡山県,新見市,哲多町宮河内,1940-24,,34.966388,133.430435,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000088,岡山県新見市,新見市哲多金ボタル交流館,,,332101,,岡山県新見市蚊家3322,岡山県,新見市,蚊家,3322,,34.895216,133.391795,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000073,岡山県新見市,新砥小学校,,,332101,,岡山県新見市哲多町蚊家4301,岡山県,新見市,哲多町蚊家,4301,,34.909056,133.404849,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000075,岡山県新見市,新砥市民センター,,,332101,,岡山県新見市哲多町蚊家4603,岡山県,新見市,哲多町蚊家,4603,,34.910158,133.405581,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000076,岡山県新見市,大田ふれあいセンター,,,332101,,岡山県新見市哲多町田淵124-1,岡山県,新見市,哲多町田淵,124-1,,34.929809,133.392891,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000078,岡山県新見市,矢神小学校,,,332101,,岡山県新見市哲西町上神代5823,岡山県,新見市,哲西町上神代,5823,,34.956688,133.331457,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000079,岡山県新見市,哲西中学校,,,332101,,岡山県新見市哲西町矢田3193,岡山県,新見市,哲西町矢田,3193,,34.925837,133.327116,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000080,岡山県新見市,哲西認定こども園,,,332101,,岡山県新見市哲西町矢田3604,岡山県,新見市,哲西町矢田,3604,,34.933219,133.331570,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000081,岡山県新見市,哲西支局(きらめき広場･哲西）,,,332101,,岡山県新見市哲西町矢田3604,岡山県,新見市,哲西町矢田,3604,,34.932963,133.332085,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000082,岡山県新見市,野馳小学校,,,332101,,岡山県新見市哲西町八鳥527,岡山県,新見市,哲西町八鳥,527,,34.908185,133.325843,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000083,岡山県新見市,田治部地域づくりセンター,,,332101,,岡山県新見市大佐田治部2851,岡山県,新見市,大佐田治部,2851,,35.046565,133.551907,,,,,,,,,,,,,,,,,,,,,,,
